Resource Name,Barcode,Location
Large Closed Clam Shells,3279,I-3-3
Dunce Cap Limpets,2898,I-3-3
Small Snail Shell,9727,I-3-3
Small Snail Shell,9728,I-3-3
Snail Shell,2942,I-3-3
Medium Snail Shell,9729,I-3-3
Large Snail Shell,9730,I-3-3
Assortment of Small Shells,9731,I-3-3
Small Conical Shells,9732,I-3-3
Shell,1350,I-3-3
Shell,9733,I-3-3
Shell,9734,I-3-3
Shell,9735,I-3-3
Shell,9736,I-3-3
Shell,9737,I-3-3
Shell,9738,I-3-3
Shell,9739,I-3-3
Shell,9740,I-3-3
Shell,9741,I-3-3
Starfish,1418,I-3-3
Starfish,2517,I-3-3
Starfish (mini),2427,I-3-3
Bat Starsifh,2426,I-3-3
Starfish,1462,I-3-3
Starfish,7783,I-3-3
"China Bend, Washington State",4510,I-4-1
Landforms,8947,I-4-1
Protective Form and Coloration of Insects,2199,I-4-2
Protective Form and Coloration of Insects,2298,I-4-2
Life on the Forest Floor,2707,I-4-2
Insect Speciman,9742,I-4-2
Insect Speciman,9743,I-4-2
Butterfly Speciman,9744,I-4-2
Beetle Speciman,9745,I-4-2
Scarab Beetles,1208,I-4-2
Hercules Beetle,1206,I-4-2
Termite Eaten Wood ,2160,I-4-2
Mud Dauber Wasp Nest,2165,I-4-2
Termite Eaten Wood ,2162,I-4-2
The Cell Game,4831,I-4-3
Bear Foot Print,2032,I-4-3
Racoon Foot Print,2347,I-4-3
Deer Foot Print,2031,I-4-3
Racoon Foot Print,2346,I-4-3
24 bp DNA Model,5586,I-4-3
Large Teeth,1735,I-4-3
R-DNA Model Kit,5585,I-4-3
Human Skull,1924,I-4-3
Human Skull,7569,I-4-3
R-DNA Model Kit,5579,I-4-3
DNA Kit with Booklet,2817,I-4-3
Commerical Sponge,3965,H-1-2
Cladonia Fructicose Fungi,2696,H-1-2
Marine Algae,6147,H-1-2
Foliose Lichen,2947,H-1-2
Green Algae,2443,H-1-2
Foliose Lichen,2987,H-1-2
Mushroom Types,2439,H-1-2
Lichen,2445,H-1-2
Lichen,2847,H-1-2
Lichen,2848,H-1-2
Lichen,2845,H-1-2
Lichen,2842,H-1-2
Rockweed,3967,H-1-2
Fan Coral,1417,H-1-2
Sea Fan,1409,H-1-2
Coral,3878,H-1-2
Rock for Ocean,9746,H-1-2
White Coral,1408,H-1-2
Reef Forming Coral,3964,H-1-2
Small Coral,9747,H-1-2
Oregon Oak,4544,H-1-3
Valley Oak Acorns,2371,H-1-3
Acorn Tan Oak,2381,H-1-3
Valley Oak Acorns,2382,H-1-3
Teaching Device,2438,H-1-3
Fruit Types,4546,H-1-3
Tan Oak,3940,H-1-3
Lithocarpus Densiflora,3943,H-1-3
Tan Oak,4540,H-1-3
Lithocarpus Densiflora,4543,H-1-3
Soy Bean,4548,H-1-3
Mourning Cloak Butterfly,3151,H-1-3
Butterfly,3165,H-1-3
Butterfly,6142,H-1-3
Isoptera Damage to Wood ,2191,H-1-3
Mourning Cloak Butterfly,3164,H-1-3
Painted Lady Butterfly,2070,H-1-3
Cabbage White Butterfly,3167,H-1-3
Blue Footed Booby,8146,H-2-1
Barn Owl Tail Feather,8275,H-2-1
Gopher Snake,9748,H-2-1
Rosey Boa Snake,1203,H-2-1
Gopher Snake,1204,H-2-1
Cell Model,1699,H-2-2
Shell Molds,8849,H-2-2
Spermatophytes,3725,H-2-2
Bryophytes,3724,H-2-2
Group of Common Mosses,3721,H-2-2
Pteridophytes,3722,H-2-2
Coral,3650,H-2-2
Nano Kit B-DNA,7386,H-3-1
Molecular Model Set,2053,H-3-1
Molecular Model ,2400,H-3-1
Molecular Model ,2398,H-3-1
Molecular Model ,2402,H-3-1
Molecular Model ,2406,H-3-1
Molecular Model ,2365,H-3-1
Molecular Model ,6778,H-3-1
Molecular Student Set,9750,H-3-1
Molecular Student Set,9751,H-3-1
Nano Activity Kits,7996,H-3-2
Nano Kit Supplies,8906,H-3-2
Exploring the Nanoworld,9752,H-3-2
Exploring the Nanoworld,9753,H-3-2
Giant Molecular Model,6754,H-3-2
Assortment of Shells,3128,P-19-1
Large Oyster,3112,P-19-2
Oyster,3227,P-19-3
Sea Glass,9761,P-19-4
Scallop- Paramencium Cauclatum,3090,P-19-5
Small Oysters,3657,P-19-6
Small Mussels,3672,P-19-7
Small Clams,3656,P-19-8
Mussel with Barnacle,3659,P-19-9
Small Shells,9762,P-19-10
Small Mussels,3221,P-19-11
Small Shells,9763,P-19-12
Acorn Barnacles on Mussels,2907,P-19-13
Pearl Oyster Shell,8780,P-19-14
Barnicles ,5434,P-19-15
Small Clams,3671,P-19-16
Scallop,3030,P-19-17
Shells,9764,P-19-18
Shells,9765,P-19-19
Shells,9766,P-19-20
Shells,9767,P-19-21
Shells,9768,P-19-22
Shells,9769,P-19-23
Small Shells,9770,P-19-24
Assortment of Shells,9771,P-19-24
Shell,9701,P-19-24
Tarantula Shed,2243,P-20-1
Spider Skin Shed,9702,P-20-2
Spider Skin Shed,9703,P-20-3
Tarantula Shed,1469,P-20-4
Tarantula Shed,1586,P-20-5
Canbarus Crayfish,2832,P-20-6
Canbarus Crayfish,3879,P-20-7
Twig with Halite Crystals,9772,P-20-8
Tarantula,2002,P-20-9
Tarantula,2161,P-20-10
Scorpions,6073,P-20-11
Scorpion,3883,P-20-12
Crayfish ,3885,P-20-13
Dermacentor variabilis,6011,P-20-14
Dermacentor andersoni,6029,P-20-15
Dermacentor andersoni,6017,P-20-16
Dermacentor andersoni,6021,P-20-17
Ticks,6026,P-20-18
Ticks,6030,P-20-19
Shrimp Egg,6014,P-20-20
Pig Ringworm,2915,P-20-21
,,P-20-22
Horseshoe Crab,6072,P-20-23
Lamprey through Mouth,6009,P-20-24
,,P-20-25
Tick,6016,P-20-26
Funnei Web Spider,2003,P-20-27
Dog Tapeworm,6022,P-20-28
Shell,9704,P-20-29
Centipede ,3887,P-20-30
Crangon Edible Shrimp,1880,P-20-31
Scorpion,3884,P-20-32
,,P-20-33
Black Widow Spider,1588,P-20-34
Spider with Web,1466,P-20-35
Sea Spider,5429,P-20-36
Black Widow Spider,1968,P-20-37
Tarantula,1213,P-20-38
,,P-20-39
Spider,1587,P-20-40
Aracnid Types,3882,P-20-41
Bomby Mori Life History,1884,P-20-42
Aracnid Types,2005,P-20-43
Centipede,2833,P-20-44
Milipede,2911,P-20-45
Horseshoe Crab,1583,P-20-46
Gammarus (Large Amphipod),6066,P-20-47
Julus (Millipede),6023,P-20-47
Ciona,6007,P-20-47
Dolichoglossus,6004,P-20-47
Ciona,6008,P-20-47
Lichen,2834,P-20-47
Unknown Insect,6005,P-20-47
Taenia pisiformis,6024,P-20-47
Balanus Banoides,6012,P-20-47
Demacentor Variabilis,6020,P-20-47
Small Horseshoe Crab,6010,P-20-47
Ticks,1879,P-20-47
Ticks,2910,P-20-47
Reticulitermes Flavipes,6015,P-20-47
Dog Tapeworm,6028,P-20-47
Daphnia,6027,P-20-47
Unknown Insect,6002,P-20-47
Fiddler Crab,6000,P-20-47
Horseshoe Crab,1582,P-20-47
Gammarus,6070,P-20-47
Dermacentor variabilis,6018,P-20-47
Ticks,6071,P-20-47
Scolopendra,6013,P-20-47
Boophilis Dermacentor Ticks ,6025,P-20-47
Peripatus,6003,P-20-47
Flea,6001,P-20-47
Hydra,2927,P-20-47
Pacific Isopod,6069,P-20-47
Scorpion,5019,P-20-47
Julus Millipede,2912,P-20-47
Perch Skeleton,1578,P-21-1
Frog Skeleton,1184,P-21-2
Gulf Fritllatay Butterflies,2067,P-21-3
Mourning Cloak Butterfly and Cabbage Butterfly,3160,P-21-4
Dead Leaf Butterfly,2888,P-21-5
Butterfly Collection,3854,P-21-6
Seahorse Skeleton,8058,P-21-7
Seahorse,1883,P-21-8
Perch Fish Skeleton,1190,P-21-9
Perch Fish Skeleton,1577,P-21-10
Swallow Tail Butterfly,2062,P-21-11
Swallow Tail Butterfly,1999,P-21-12
Mourning Cloak Butterfly,3150,P-21-13
Fritillary Butterfly,3154,P-21-14
Butterflies (Gulf Fritilbury),1905,P-21-15
Fritillary Butterfly,3156,P-21-16
,,P-21-17
Fritillary Butterfly,3155,P-21-18
California Buckeye,3158,P-21-19
Cabbage Butterfly,3159,P-21-20
Painted Lady Butterfly,5278,P-21-21
Checkerspot,1998,P-21-22
California Buckeye,3166,P-21-23
Frog Metamorphosis,7401,P-21-24
Frog ,1876,P-21-25
Chick Embryos,1584,P-21-26
,,P-21-27
Perch Skeleton,1577,P-21-28
Frog Eggs,1888,P-21-29
Frog Eggs,1887,P-21-30
Fish Scales,1886,P-21-31
Ammocoetes Larva,1878,P-21-32
Fish Scales,1885,P-21-33
,,P-21-34
Frog Eggs,1887,P-21-35
Frog Life History ,1874,P-21-36
Mourning Cloak Butterfly,2065,P-21-37
Mourning Cloak Butterfly,3161,P-21-38
Monarch Butterfly,2058,P-22-1
Mourning Cloak Butterfly,3152,P-22-2
Monarch Butterflies,1401,P-22-3
Monarch Butterflies,2072,P-22-4
Mourning Cloak Butterfly,3153,P-22-5
Painted Lady,2000,P-22-6
Butterfly Life Cycle,1248,P-22-7
Male Monarch Butterfly and Pupa,1402,P-22-8
Butterfly Display,4830,P-22-9
Butterfly Display,4826,P-22-10
Butterfly Display,4823,P-22-11
Cabbage Butterflies (Pieis rapae),1247,P-22-12
West Coast Lady Butterflies,2074,P-22-13
Swallow Tail Butterfly,3856,P-22-14
Monarch Butterfly,2059,P-22-15
Butterfly Display,4822,P-22-16
Butterfly Display,4829,P-22-17
Butterfly Display,4825,P-22-18
Butterfly Display,4827,P-22-19
Butterfly Display,4824,P-22-20
Butterfly Display,4828,P-22-21
California Buckeye,3157,P-22-22
Butterfly Life History in Resin,1243,P-22-23
Mourning Cloak and Fritiiary Butterfly,2066,P-22-24
Fritillary Butterflies,2071,P-22-25
Monarch Butterflies,2068,P-22-26
Monarch Butterfly,2057,P-22-27
"Monarch Butterfly Larva, Pupa and Adult",2069,P-22-28
Monarch Butterfly,1245,P-22-29
Swallow Tail Butterfly,2061,P-22-30
Swallow Tail Butterfly,2063,P-22-31
Swallow Tail Butterfly,2064,P-22-32
Swallow Tail Butterfly,2060,P-22-33
Butterfly,2001,P-22-34
Butterfly Collection,2075,P-22-35
Butterfly Mount,1249,P-22-36
Types of Lepidoptera Antennae,2073,P-22-37
Monarch Butterfly Riker Mount,1244,P-22-38
Butterfly Mount,1246,P-22-39
Resource Name,0,Location DH
Creating a Spectroscope,8917,NN-1
Spectroscope Kit,8303,NN-2
Defraction Graftings,8736,NN-3
Centripetal Force Appartus Newton's 2nd Law Appartus,8918,NN-4
Lense Activity,8919,NN-5
DC Lights for Optics Benches,6788,NN-6
Optics,8920,NN-7
Water Lense Kit,8923,NN-8
Color Dynamics and Color Filters,8921,NN-9
Gem Color Filter Activities,8300,NN-10
Overhead Projector Polariod w/ Cellophane,8738,NN-11
Water Prism Activity,3274,NN-12
Mirrors Activity Kit,8737,NN-13
Anamorphic Graphs (Polar Graphing) W/ Circular Mirros,8922,NN-14
Pupil Activity,7399,NN-15
DC Optics Bench Sets (8) Add Metersticks,6787,NN-16
Temperature Probes Computer Connectors,8924,NN-17
Magnifying Hand Lenses,8784,NN-18
Compasses,5907,NN-19
Compasses,8925,NN-20
Electric Multi-meters,6797,NN-21
Mini Physics Kits,8926,NN-22
Hand Generators,8927,NN-23
Stop Watches,8928,NN-24
DC Buzzers and Bells,8929,NN-25
Doorbell Switches,8930,NN-26
Switches,8931,NN-27
Switches,8932,NN-28
Mini-Electricity Kits,8933,NN-29
Electric and Battery Car,8934,NN-30
Business Card Circuits Circuit Boards,9168,NN-31
Nail Electro-Magnet Kit,8935,NN-32
Halogen Lamp,8943,F-2-1
Dissecting Microscope,1795,F-2-1
Bausch & Lomb Microscope,1101,G-2-2
Bausch & Lomb Microscope,1078,G-2-2
Bausch & Lomb Microscope,1076,G-2-3
Bausch & Lomb Microscope,1084,G-2-3
Bausch & Lomb Microscope,1071,G-2-3
Bausch & Lomb Microscope,1082,G-2-4
Bausch & Lomb Microscope,1072,G-2-4
Bausch & Lomb Microscope,1069,G-2-4
Hydrometers,7770,MM-1
Blocks,8937,MM-2
Exploring Magnet Kit,6795,MM-3
Magnet (bar),8938,MM-4
Chromotography Paper,8939,MM-5
PH Analyzer,8940,MM-6
Litmus Paper,8909,MM-7
Pulley Kit,8941,MM-8
Create a Table Card Game,1193,MM-9
Tuning Forks,1716,MM-10
"Sound (mini kit,mallets, rattles,combs)",8942,MM-11
Protractors Altimeters,7392,MM-12
Plastic Slinkies,6798,MM-13
Plastic Slinkies,6798,MM-14
Extra Long Slinkies,5560,MM-15
Metal Slinkies,4644,MM-16
Traveling Through Biotechnology,1707,TT-4-4
How Do Drugs Work,4789,TT-4-4
Marble loop track,8316,S-1-2
Triple Beam Balance ,5267,I-1-1
Triple Beam Balance ,5266,I-1-1
Spectroscope,8434,J-1-3
Analyzing Light Curves,8891,J-2-1
Flame Test Kit,8905,J-2-2
Flame Calorimeter,9653,J-2-2
Vernier LabPro,6767,J-2-2
Vernier LabPro,6762,J-2-2
Radiometer,7714,J-2-3
2 Liquid Crystal Thermometers,8944,J-2-3
5 Thermometers,8862,J-2-3
5 Thermometers,8863,J-2-3
Soil Thermometers,8864,J-2-3
Deep Fryer Thermometers,8865,J-2-3
Plastic Lense Kit,7999,J-3-1
Paper Cup Speaker Kit,9650,J-3-1
Lux Meters,8439,J-3-2
Color Mixing,7998,J-3-2
Acid Rain,8732,J-3-3
Color Vision Box,7997,J-3-3
2 Dial Thermometers,8313,J-4-1
Psychrometer Kit,8883,J-4-1
32 Thermometers,8857,J-4-1
Elementary Sound Box B,6799,J-4-1
Salty Eight Card Game,8734,J-4-2
Elementary Sound Box A,8948,J-4-2
Heat Proof Glove (Right Hand),2931,J-4-3
Beaker Tong,2933,J-4-3
Heat Proof Glove (Left Hand),2930,J-4-3
40 Safety Glasses,1711,J-4-3
Simple Machine Kit,8912,MM-17
Simple Machine Kit,8913,MM-17
Fastner Unit Kit,8914,MM-17
Pulley Kit,7987,MM-18
Pulley Kit,8885,MM-19
Pulley Kit,8910,MM-20
On and Off Switches,4816,MM-21
Spring Scale,7391,MM-22
Polarized Light Kit,8888,MM-23
Test for Color Blindness,6793,MM-24
Sound Level Meter,2395,MM-24
Anemometer,3846,MM-24
Battery Holders,8784,MM-25
Switches,6843,MM-25
DC Circuit Kit #1,6796,MM-26
Stopwatches,4626,MM-27
Small Magnifying Glass,7402,MM-28
Medium Magnifying Glass,7403,MM-28
Large Magnifying Glass,7404,MM-28
Friction Blocks,6783,MM-29
Measuring Weight Multimedia,8890,MM-30
Exploring Magnets Kit,6795,MM-31
Magnet ,1262,MM-32
Inertial balance Kit,2354,N-2-1
Digital Kitchen Scale,8446,N-2-1
Power Supply,9668,N-2-1
Rechargable Battery,9675,N-2-1
Magnetizer,9676,N-2-1
Newton's Cradle,8430,N-2-1
Plasma Ball,8429,N-2-1
Force Pump,1533,N-2-2
Bell Jar,9688,M-1-2
Bell Jar Bottom,9689,M-1-2
Battery Holder (Blue plastic) ,5564,M-2-1
Battery Holder (metal) ,5565,M-2-1
Gear and Levers,8911,M-2-1
Watch Glasses,9690,M-2-1
Refraction ,7399,M-2-1
Circuit Mount,3794,M-2-1
Electrical Clips,3798,M-2-1
Battery Holder,3795,M-2-1
Gas Law,9691,M-2-1
Kill A Watt Unit,8426,M-4-3
Steam Engine,8314,M-3-3
Geiger Counter CDB-700,7587,M-4-1
Vacuum Pump,6126,M-4-1
Vacuum Pump,1948,M-4-2
Magnetism Kit,9693,M-4-3
"Iron Filing Sheets (small hard plastic - 2"" x 3"")",6839,M-4-3
"Iron Filing Sheets (8.5"" x 11"")",1430,M-4-3
Circuit Activity,9694,M-3-2
Green Ninja Thermometer and Humidity Monitor,8498,M-4-4
Green Ninja Box A,7451,M-4-4
Ping Pong Ball,9706,L-1-1
Levitron Anti-Gravity Top,6827,L-1-1
Toy Motor Kit,5254,L-1-3
Binoculars,5259,L-1-3
UV Lamp,7775,L-1-4
UV Lamp,9632,L-1-4
Extra Microscope Lights,9706,L-2-1
Extra Lights,5441,L-2-1
Prisms,8889,L-2-1
Copper Coil,8741,L-2-1
Toy Motor Kit,5257,L-2-1
Magnetic Compass,5908,L-2-1
Hand Boiler,7984,L-2-1
Gyroscope,4842,L-2-1
Balancing Kit,9707,L-2-2
Laser Play Kit,8301,L-2-2
Tins and Fire Starter,9708,L-2-2
Wooden Rolling Cart,8936,L-2-2
Static Electricity Kit,8750,L-2-3
Pinhole Photography,5253,L-2-3
Laser,8302,L-2-3
165 ft Tape Measure,6106,L-3-1
165 ft Tape Measure,6104,L-3-1
Pedometer,6081,L-3-1
Counter,6084,L-3-1
Whistles,6083,L-3-1
Floater/Sinker Kit,2825,L-3-1
O2 Gas Sensor,6758,L-3-2
Voltometer,9711,L-3-3
Table Cloth Interia,9710,L-3-3
Double cone and Track Gravity,4840,L-4-1
Spool Toy Kinetic and Potential Energies Kit,8908,L-4-1
Tape Meausure,6109,L-4-2
Tape Meausure,6110,L-4-2
Mirrors,2504,L-4-2
4*6 Mirror,5444,L-4-2
Making Waves,9713,L-4-3
Tops in a Box,8884,L-4-3
Tornado Tube,8887,L-4-3
Marbles,8946,L-4-3
Extra Light Bulbs ,8881,L-4-3
Silk Wicks,9714,L-4-3
Illuminated Microscope,9715,L-4-3
Air Pump,9716,L-4-3
Screen Sieves,3670,H-2-1
Screen Sieves,3668,H-2-1
Criminal Investigation,9754,H-3-3
Clinical Trials,7995,H-3-3
PTC Paper Test Strips,7599,H-3-3
PH Tester,9755,H-3-3
Ring Clamp,8449,H-4-1
Glass Stopper,7986,H-4-1
Mystery Powders,8733,H-4-1
Magnifying Glass,8945,H-4-1
Convex Mirror,5556,H-4-1
Bug Boxes,9756,H-4-1
Chemical Bottles,9757,H-4-2
Bromothymol Blue/ Methylene Blue/ Decaffinated Tea,8907,H-4-2
"Salt, Epsom and Baking Powder",9758,H-4-2
Food Coloring,9759,H-4-3
Microscope Equipment/Tools,9760,H-4-3
States of Matter ,8700,H-4-3
Wall Hogging Mouse,8420,N-1-1
Technic 1031,4518,N-1-1
Google Cardboard,2305,N-1-1
Technic 1033,4520,N-1-1
Lens Set for Optic Disc,4517,N-1-1
Lego Pieces Technic,4817,N-1-1
Polariod Slide Mounter,8443,N-1-2
Compact Disc Player,8444,N-1-2
Lego Pieces Technic,4513,N-1-3
Stereo,8445,N-1-3
Compact Disc Player ,8444,N-1-3
Lego Pieces Technic ,4515,N-1-3
Technic Lego Set,4514,N-2-1
Legos,9677,N-2-1
Solar Powered Robots,5589,N-2-2
Math Geoboards,9678,N-2-2
Circuits,9685,M-3-1
Circuits,9686,M-3-2
Circuits Activity,9692,M-3-3
200 in 1 Electronic Project Kit,9709,L-3-2
